Sample_ID,pond,N.totdens,N.livedens,N.deaddens,mean.RNADNA,sd.RNADNA,median.RNADNA,meanDNA,meanRNA
HNF225,HNF_225,46229458.92,16679258.52,15894388.78,1.387563338,1.079479825,1.212738288,0.925947098,1.111293509
HNF229,HNF_229,24139730.98,3972093.957,15405440.67,1.25325052,0.761233291,1.09645409,1.0636845,1.132035087
HNF236,HNF_236,8642842.803,1896205.581,4852238.506,1.590331521,1.652009038,1.37615513,0.856780385,1.16920534
HNF237,HNF_237,9191105.769,2705328.526,4006710.737,1.223598255,1.551754744,1.024593572,1.117365427,1.112969098
HNF250,HNF_250,27351835.18,6668666.867,10907690.77,1.367895033,15.10497222,1.223362103,0.920264411,1.080628972
HNF267,HNF_267,76976452.91,22863627.25,24506513.03,1.454507055,3.067366627,1.246292078,0.892240274,1.095483838
HNF269,HNF_269,16857960.25,3748544.469,8150772.937,1.235414865,0.82161503,1.068280072,1.11753284,1.142688681
HNF279,HNF_279,24486413.32,8943647.849,8523012.133,1.340225361,2.029038887,1.15019893,0.995220989,1.115202361
YSF4,YSF_004,56827215.13,4675651.212,27443930.4,1.210707969,31.84814289,1.184751371,0.944814211,1.096010752
YSF44,YSF_044,34801083.9,4411280.61,16207346.45,1.359549742,30.81738196,1.237484774,0.896780808,1.093175777
YSF45,YSF_045,30307122.11,3352298.908,17573474.91,1.343563268,1.398419513,1.150374894,1.004008846,1.106681343
YSF46,YSF_046,38599859.78,8607471.955,15379407.05,1.412968517,2.655638495,1.223207551,0.916961392,1.107668118
YSF47,YSF_047,33211602.04,7577697.625,16312293.36,1.281009127,1.365841751,1.099741949,1.043176179,1.109715613
YSF65,YSF_065,12896555.18,4074804.727,5513518.926,1.213439753,3.2199324,1.04211931,1.103371683,1.124307585
YSF66,YSF_066,22101991.79,8892202.983,4912821.539,1.299155927,2.64697715,1.111445386,1.037847311,1.122249212
YSF67,YSF_067,23550750.75,4737037.037,11910810.81,1.251131493,1.013153893,1.076867058,1.063356937,1.108845991
YSF69,YSF_069,23697467.21,9540094.104,5638001.802,1.322133261,1.195503656,1.123830757,1.022333013,1.116587819
YSF70,YSF_070,16536516.85,3141853.933,8073434.992,1.130515941,34.36885263,1.074185766,1.053135427,1.096830184
YSF71,YSF_071,45816216.22,11066966.97,17607507.51,1.398870339,13.48172344,1.174616938,0.967867889,1.107663406
YSF74,YSF_074,30535642.16,8211025.848,12123586.43,1.396603185,3.05198427,1.191347528,0.95414552,1.108255119
YSF117,YSF_117,139132105.7,29312650.12,48614291.43,1.488383745,10.29900276,1.27765315,0.856641869,1.080897435
YSF242,YSF_242,58651530.31,11360372.07,29371774.35,1.548444394,1.674944603,1.33407925,0.836746077,1.10523513
YSF295,YSF_295,29673810.72,11389384.08,9460791.187,1.37662038,1.477790888,1.19391172,0.948287138,1.105481392
YSF296,YSF_296,17549119.65,5768807.523,5105442.177,1.3913676,1.119222111,1.178296225,0.966620659,1.101536328
YSF298,YSF_298,55726990.49,10948422.63,25897746.62,1.384468805,1.335288344,1.186760438,0.943758855,1.093972002
YSF300,YSF_300,109747972.4,19864223.49,47207870.23,1.311675838,19.00614018,1.182402696,0.946582035,1.100773284
